Date/Time,BLOCK 2 ADMINISTRATION STOREY 0:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 1:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 2:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 3:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 4:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 5:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 6:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 7:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 8:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 9:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 10:Zone Lights Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 0:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 1:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 2:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 3:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 4:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 5:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 6:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 7:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 8:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 9:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 10:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 5 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 5 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 6 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 6 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 7 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 7 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 8 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 8 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 9 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 9 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 10 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 2 ADMINISTRATION STOREY 10 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,23590905.17397282,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,44232947.20119904,72422805.64461625,0.0,227024262.42012507,0.0,229509374.31292057,0.0,231230805.95827448,0.0,232604045.86284697,0.0,233783912.35911715,0.0,234837765.33185884,0.0,235803779.03435412,0.0,236713871.74135143,0.0,264741513.40847042,0.0,265260402.7348771,0.0 
 01/01  08:00:00,58523690.00466505,58535673.803232946,58544034.21689862,58552340.98881707,58560589.91596364,58568774.92108086,58576942.27177583,58585095.559928514,58586724.447335094,58586724.447335094,58586724.44733509,110582368.00299759,110582368.00299759,110582368.00299759,110582368.00299759,110582368.00299759,110582368.00299759,110582368.00299759,110582368.00299759,110582368.00299759,110582368.00299759,110582368.00299759,0.0,0.0,47078998.818995915,0.0,48960797.12912441,0.0,50278308.01671751,0.0,51344200.619634636,0.0,52268247.92428969,0.0,53101719.95390653,0.0,53872525.524261184,0.0,54607505.30531511,0.0,80770999.28522716,0.0,81133687.46937121,0.0 
 01/01  09:00:00,104166185.60793099,104369015.4283424,104510178.57381321,104650248.15426287,104789115.33624527,104926643.26426272,105063897.456299,105200965.64753003,105228355.56105232,105228355.56105232,105228355.56105208,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,230689625.8627358,0.0,453142748.34272766,0.0,455179137.305326,0.0,456586518.63287836,0.0,457718214.674696,0.0,458700586.38711435,0.0,459579659.8751264,0.0,460387189.8759421,0.0,461214932.3060088,0.0,492518169.4910264,0.0,492880669.0490489,0.0 
 01/01  10:00:00,84850740.69868025,85575265.08054292,86079559.38882497,86580511.57275546,87077777.66277415,87571029.87886372,88063203.22549275,88554522.29812908,88652678.2742735,88652678.2742735,88652678.27427062,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,210106499.20569542,219358693.6459999,0.0,402723679.2079458,0.0,404449388.9087834,0.0,405573002.2989114,0.0,406427315.3254348,0.0,407130036.41171426,0.0,407734436.4397073,0.0,408270708.1876227,0.0,409015139.5348657,0.0,439940625.8676055,0.0,440247054.59584045,0.0 
