bh,archetype_id,LandNum,Cluster,BuildingID,Area,Fnum,landUseTyp
1,1_5,1,5,121984462,316.8372,8,Residential_2
2,7_2,7,2,122134118,3450.6098,8,Administration
3,1_2,1,2,122032110,544.907,6,Residential_2
4,4_1,4,1,121872894,2442.4796,5,Office
5,0_7,0,7,527613310,212.5073,2,Residential_1
6,2_8,2,8,527616136,654.8732,14,Residential_3
7,4_3,4,3,122148536,12648.1723,0,Office
8,6_1,6,1,122149046,79858.5872,4,Transport
9,3_5,3,5,121986282,380.6252,6,Commercial
10,7_8,7,8,122134029,319.4854,12,Administration
11,4_4,4,4,121980066,1148.1681,5,Office
12,1_4,1,4,518186246,650.675,6,Residential_2
13,4_5,4,5,518145162,1357.7721,4,Office
14,0_3,0,3,121972907,790.2708,3,Residential_1
15,2_9,2,9,519355029,812.5125,28,Residential_3
16,3_8,3,8,121895481,435.3613,4,Commercial
17,7_9,7,9,121855618,1072.1574,5,Administration
18,7_3,7,3,121975941,582.7238,2,Administration
19,1_7,1,7,121971448,328.8188,6,Residential_2
20,7_7,7,7,121875652,981.307,3,Administration
21,7_4,7,4,122133789,1021.7356,18,Administration
22,4_7,4,7,122133532,827.1607,20,Office
23,4_9,4,9,122123639,501.661,16,Office
24,2_2,2,2,122053148,545.6985,16,Residential_3
25,0_9,0,9,122050841,406.8049,2,Residential_1
26,1_3,1,3,122043795,468.1848,6,Residential_2
27,2_5,2,5,122043831,532.3409,12,Residential_3
28,2_4,2,4,122048987,741.8661,12,Residential_3
29,2_6,2,6,518224232,358.7304,12,Residential_3
30,3_1,3,1,696109044,619.076,5,Commercial
31,2_1,2,1,122140440,1051.7909,12,Residential_3
32,6_4,6,4,121876259,1019.9097,8,Transport
33,6_2,6,2,121875515,2989.1165,3,Transport
34,0_5,0,5,519363731,274.6052,3,Residential_1
35,2_3,2,3,696461036,670.4479,20,Residential_3
36,3_7,3,7,519519113,483.5987,4,Commercial
37,6_5,6,5,121867907,1705.4349,4,Transport
38,7_5,7,5,121873515,487.3153,2,Administration
39,7_6,7,6,121998979,4463.4204,5,Administration
40,0_4,0,4,518185362,1024.1698,2,Residential_1
41,4_6,4,6,122035729,578.4307,6,Office
42,5_3,5,3,614612537,638.4569,3,Industry
43,6_3,6,3,122149045,148061.7887,5,Transport
44,5_6,5,6,573737682,587.218,3,Industry
45,5_4,5,4,653643732,428.5975,2,Industry
46,3_9,3,9,653746984,425.9827,4,Commercial
47,3_2,3,2,519333335,120.5061,2,Commercial
48,5_9,5,9,573934491,614.8183,2,Industry
49,4_2,4,2,525409460,952.4718,6,Office
50,5_8,5,8,573947300,746.0759,2,Industry
51,4_8,4,8,121876720,516.9792,5,Office
52,7_1,7,1,121871295,2232.7408,2,Administration
53,5_5,5,5,696062800,446.1892,3,Industry
54,1_9,1,9,122026194,386.0743,6,Residential_2
55,0_8,0,8,122021072,465.5619,3,Residential_1
56,0_6,0,6,122023756,132.0956,3,Residential_1
57,1_6,1,6,573974681,669.8885,8,Residential_2
58,5_1,5,1,574035005,1009.4058,2,Industry
59,5_7,5,7,574044578,887.9363,3,Industry
60,2_7,2,7,653336422,590.6822,17,Residential_3
61,1_1,1,1,573638164,644.4774,10,Residential_2
62,0_1,0,1,654085876,411.7191,3,Residential_1
63,3_6,3,6,573939891,142.5584,3,Commercial
64,3_3,3,3,573964175,433.8121,6,Commercial
65,1_8,1,8,573964640,426.6194,5,Residential_2
66,5_2,5,2,694914904,518.8837,3,Industry
67,0_2,0,2,574417019,156.0268,3,Residential_1
68,3_4,3,4,573841807,383.3937,6,Commercial
