BuildingID,landUseTyp,Area,floors,floor_area_m2,LandNum,Cluster,archetype_id,bh,heating_EUI_kWh_m2,heating_kWh
122123827,Residential_2,734.1419,7,5138.9933,1,2.0000,1_2,3,38.6084,198408.3012
122123829,Residential_2,639.7089,8,5117.6712,1,2.0000,1_2,3,38.6084,197585.0891
122123862,Residential_2,2239.6510,6,13437.9060,1,2.0000,1_2,3,38.6084,518816.0298
122053955,Residential_2,952.4797,6,5714.8782,1,2.0000,1_2,3,38.6084,220642.2949
122053956,Residential_2,915.2559,6,5491.5354,1,2.0000,1_2,3,38.6084,212019.3871
122053957,Residential_2,484.3308,6,2905.9848,1,2.0000,1_2,3,38.6084,112195.4192
122053971,Residential_2,653.2205,6,3919.3230,1,2.0000,1_2,3,38.6084,151318.7842
122053988,Residential_2,449.5207,6,2697.1242,1,2.0000,1_2,3,38.6084,104131.6459
122053989,Residential_2,437.5030,6,2625.0180,1,2.0000,1_2,3,38.6084,101347.7410
122053990,Residential_2,705.6204,6,4233.7224,1,2.0000,1_2,3,38.6084,163457.2415
122035782,Residential_2,576.5551,6,3459.3306,1,2.0000,1_2,3,38.6084,133559.2143
122035011,Residential_2,590.6758,6,3544.0548,1,2.0000,1_2,3,38.6084,136830.2800
122035012,Residential_2,649.7383,6,3898.4298,1,2.0000,1_2,3,38.6084,150512.1312
122036353,Residential_2,690.3235,6,4141.9410,1,2.0000,1_2,3,38.6084,159913.7087
122036354,Residential_2,691.1495,6,4146.8970,1,2.0000,1_2,3,38.6084,160105.0519
122036355,Residential_2,662.5540,6,3975.3240,1,2.0000,1_2,3,38.6084,153480.8931
122036356,Residential_2,662.8291,6,3976.9746,1,2.0000,1_2,3,38.6084,153544.6202
122036357,Residential_2,662.1744,6,3973.0464,1,2.0000,1_2,3,38.6084,153392.9587
122036406,Residential_2,639.9808,6,3839.8848,1,2.0000,1_2,3,38.6084,148251.8025
122036407,Residential_2,639.3099,6,3835.8594,1,2.0000,1_2,3,38.6084,148096.3883
122036408,Residential_2,639.3099,6,3835.8594,1,2.0000,1_2,3,38.6084,148096.3883
122036412,Residential_2,633.2273,6,3799.3638,1,2.0000,1_2,3,38.6084,146687.3516
122036413,Residential_2,633.9580,6,3803.7480,1,2.0000,1_2,3,38.6084,146856.6186
122036414,Residential_2,603.5192,6,3621.1152,1,2.0000,1_2,3,38.6084,139805.4586
122036415,Residential_2,603.3750,6,3620.2500,1,2.0000,1_2,3,38.6084,139772.0547
122036416,Residential_2,603.6289,6,3621.7734,1,2.0000,1_2,3,38.6084,139830.8707
122036417,Residential_2,632.1798,6,3793.0788,1,2.0000,1_2,3,38.6084,146444.6978
122036418,Residential_2,518.5761,6,3111.4566,1,2.0000,1_2,3,38.6084,120128.3563
122036419,Residential_2,518.3419,6,3110.0514,1,2.0000,1_2,3,38.6084,120074.1038
122036420,Residential_2,518.2040,6,3109.2240,1,2.0000,1_2,3,38.6084,120042.1592
122036429,Residential_2,658.4555,6,3950.7330,1,2.0000,1_2,3,38.6084,152531.4740
517986210,Residential_2,529.5935,4,2118.3740,1,2.0000,1_2,3,38.6084,81787.0276
517986211,Residential_2,462.5933,5,2312.9665,1,2.0000,1_2,3,38.6084,89299.9323
517986219,Residential_2,1663.4612,4,6653.8448,1,2.0000,1_2,3,38.6084,256894.2916
518067551,Residential_2,1372.9278,6,8237.5668,1,2.0000,1_2,3,38.6084,318039.2617
518067552,Residential_2,1197.6810,6,7186.0860,1,2.0000,1_2,3,38.6084,277443.2719
518067555,Residential_2,1276.7031,6,7660.2186,1,2.0000,1_2,3,38.6084,295748.7723
518067547,Residential_2,885.1312,4,3540.5248,1,2.0000,1_2,3,38.6084,136693.9924
518127893,Residential_2,710.9380,5,3554.6900,1,2.0000,1_2,3,38.6084,137240.8881
518289988,Residential_2,512.7712,7,3589.3984,1,2.0000,1_2,3,38.6084,138580.9238
518289990,Residential_2,519.3385,7,3635.3695,1,2.0000,1_2,3,38.6084,140355.7943
518289992,Residential_2,629.2262,7,4404.5834,1,2.0000,1_2,3,38.6084,170053.9111
518289993,Residential_2,599.4551,7,4196.1857,1,2.0000,1_2,3,38.6084,162008.0097
518289994,Residential_2,459.4329,7,3216.0303,1,2.0000,1_2,3,38.6084,124165.7794
518289995,Residential_2,455.1586,7,3186.1102,1,2.0000,1_2,3,38.6084,123010.6123
518289996,Residential_2,643.3482,7,4503.4374,1,2.0000,1_2,3,38.6084,173870.5057
518289997,Residential_2,491.5261,7,3440.6827,1,2.0000,1_2,3,38.6084,132839.2488
518304699,Residential_2,596.9192,6,3581.5152,1,2.0000,1_2,3,38.6084,138276.5661
518304700,Residential_2,480.7625,6,2884.5750,1,2.0000,1_2,3,38.6084,111368.8211
518304701,Residential_2,710.6649,6,4263.9894,1,2.0000,1_2,3,38.6084,164625.8019
