BuildingID,bh,LandNum,Cluster,Area,Fnum,Height,Fheight,Age,Age_Data,landUseTyp,archetype_id
1324989759,1,7,15,221.1717,4,16,4,1995,2000,Administration,7_15
1324989827,2,5,5,327.144,2,6,3,1990,1993,Industry,5_5
1324999769,3,2,2,829.0573,12,36,3,1990,1993,Residential_3,2_2
1325207007,4,4,10,575.8352,20,60,3,2000,2000,Office,4_10
1324904380,5,4,14,980.3793,7,21,3,2010,2010,Office,4_14
1324907558,6,4,1,946.4098,4,12,3,2000,2000,Office,4_1
1324907664,7,5,10,286.7536,2,6,3,1995,2000,Industry,5_10
1325206862,8,7,3,1027.4529,32,96,3,1995,2000,Administration,7_3
1324988439,9,5,13,477.0887,3,9,3,1990,1993,Industry,5_13
1325213520,10,6,5,2935.9607,2,6,3,2015,2015,Transport,6_5
1325212681,11,6,3,5090.1335,5,20,4,2015,2015,Transport,6_3
1324973058,12,1,12,533.7234,6,18,3,2005,2010,Residential_2,1_12
1324990803,13,2,5,670.2306,25,75,3,2010,2010,Residential_3,2_5
1325214289,14,4,13,575.3486,4,12,3,1990,1993,Office,4_13
1324989863,15,7,12,332.5049,1,3,3,2010,2010,Administration,7_12
1324984343,16,1,4,411.9929,6,18,3,2005,2010,Residential_2,1_4
1325213289,17,4,11,1123.1508,27,81,3,2000,2000,Office,4_11
1324900692,18,7,11,1620.3507,8,24,3,2010,2010,Administration,7_11
1324915738,19,6,4,1397.0936,3,9,3,2015,2015,Transport,6_4
1325213810,20,7,13,851.1636,20,60,3,2000,2000,Administration,7_13
1324902732,21,5,4,439.8148,3,9,3,1998,2000,Industry,5_4
1325209148,22,4,7,778.3795,15,45,3,2000,2000,Office,4_7
1325761555,23,6,8,180.3224,0,3,0,2010,2010,Transport,6_8
1325020235,24,2,15,495.2285,13,39,3,2005,2010,Residential_3,2_15
1325018519,25,3,9,560.4499,15,45,3,2000,2000,Commercial,3_9
1325005513,26,2,9,989.3807,21,63,3,2005,2010,Residential_3,2_9
1325214396,27,6,7,8514.5463,2,8,4,2010,2010,Transport,6_7
1325214955,28,7,6,601.62,6,18,3,1990,1993,Administration,7_6
1325023405,29,0,6,525.4914,3,9,3,1990,1993,Residential_1,0_6
1325760367,30,4,8,115.8378,0,3,0,2000,2000,Office,4_8
1325006624,31,3,3,534.3087,16,48,3,2005,2010,Commercial,3_3
1325084427,32,1,2,392.2192,6,18,3,1980,1993,Residential_2,1_2
1324968768,33,1,9,467.1853,6,18,3,1990,1993,Residential_2,1_9
1324908478,34,5,11,565.0383,2,6,3,2010,2010,Industry,5_11
1325213536,35,7,8,735.2606,2,6,3,2000,2000,Administration,7_8
1324900381,36,7,5,475.565,4,12,3,2015,2015,Administration,7_5
1324998551,37,0,5,449.67,2,6,3,1980,1993,Residential_1,0_5
