BuildingID,bh,LandNum,Cluster,Area,Fnum,Height,Fheight,Age,Age_Data,landUseTyp,archetype_id
121984462,1,1,5,316.8372,8,24,3,2000,2000,Residential_2,1_5
122134118,2,7,2,3450.6098,8,32,4,2000,2000,Administration,7_2
122032110,3,1,2,544.907,6,18,3,1990,1993,Residential_2,1_2
121872894,4,4,1,2442.4796,5,15,3,2000,2000,Office,4_1
527613310,5,0,7,212.5073,2,6,3,1980,1993,Residential_1,0_7
527616136,6,2,8,654.8732,14,42,3,2000,2000,Residential_3,2_8
122148536,7,4,3,12648.1723,0,9,0,2005,2010,Office,4_3
122149046,8,6,1,79858.5872,4,12,3,2010,2010,Transport,6_1
121986282,9,3,5,380.6252,6,18,3,2015,2015,Commercial,3_5
122134029,10,7,8,319.4854,12,48,4,1990,1993,Administration,7_8
121980066,11,4,4,1148.1681,5,15,3,2005,2010,Office,4_4
518186246,12,1,4,650.675,6,18,3,2005,2010,Residential_2,1_4
518145162,13,4,5,1357.7721,4,12,3,2010,2010,Office,4_5
121972907,14,0,3,790.2708,3,9,3,1990,1993,Residential_1,0_3
519355029,15,2,9,812.5125,28,84,3,2010,2010,Residential_3,2_9
121895481,16,3,8,435.3613,4,12,3,2015,2015,Commercial,3_8
121855618,17,7,9,1072.1574,5,15,3,2018,2024,Administration,7_9
121975941,18,7,3,582.7238,2,6,3,2010,2010,Administration,7_3
121971448,19,1,7,328.8188,6,18,3,1990,1993,Residential_2,1_7
121875652,20,7,7,981.307,3,9,3,1975,1993,Administration,7_7
122133789,21,7,4,1021.7356,18,72,4,1995,2000,Administration,7_4
122133532,22,4,7,827.1607,20,80,4,2005,2010,Office,4_7
122123639,23,4,9,501.661,16,64,4,2000,2000,Office,4_9
122053148,24,2,2,545.6985,16,48,3,2010,2010,Residential_3,2_2
122050841,25,0,9,406.8049,2,6,3,1990,1993,Residential_1,0_9
122043795,26,1,3,468.1848,6,18,3,2000,2000,Residential_2,1_3
122043831,27,2,5,532.3409,12,36,3,2010,2010,Residential_3,2_5
122048987,28,2,4,741.8661,12,36,3,2010,2010,Residential_3,2_4
518224232,29,2,6,358.7304,12,36,3,2010,2010,Residential_3,2_6
696109044,30,3,1,619.076,5,15,3,2000,2000,Commercial,3_1
122140440,31,2,1,1051.7909,12,36,3,2010,2010,Residential_3,2_1
121876259,32,6,4,1019.9097,8,24,3,2015,2015,Transport,6_4
121875515,33,6,2,2989.1165,3,9,3,2015,2015,Transport,6_2
519363731,34,0,5,274.6052,3,9,3,1990,1993,Residential_1,0_5
696461036,35,2,3,670.4479,20,60,3,2010,2010,Residential_3,2_3
519519113,36,3,7,483.5987,4,12,3,2005,2010,Commercial,3_7
121867907,37,6,5,1705.4349,4,12,3,2017,2024,Transport,6_5
121873515,38,7,5,487.3153,2,6,3,2000,2000,Administration,7_5
121998979,39,7,6,4463.4204,5,15,3,2010,2010,Administration,7_6
518185362,40,0,4,1024.1698,2,6,3,1995,2000,Residential_1,0_4
122035729,41,4,6,578.4307,6,18,3,1995,2000,Office,4_6
614612537,42,5,3,638.4569,3,9,3,2008,2010,Industry,5_3
122149045,43,6,3,148061.7887,5,15,3,2008,2010,Transport,6_3
573737682,44,5,6,587.218,3,9,3,1995,2000,Industry,5_6
653643732,45,5,4,428.5975,2,8,4,1990,1993,Industry,5_4
653746984,46,3,9,425.9827,4,12,3,2010,2010,Commercial,3_9
519333335,47,3,2,120.5061,2,6,3,2005,2010,Commercial,3_2
573934491,48,5,9,614.8183,2,6,3,2015,2015,Industry,5_9
525409460,49,4,2,952.4718,6,18,3,2008,2010,Office,4_2
573947300,50,5,8,746.0759,2,6,3,2000,2000,Industry,5_8
121876720,51,4,8,516.9792,5,15,3,2000,2000,Office,4_8
121871295,52,7,1,2232.7408,2,6,3,2005,2010,Administration,7_1
696062800,53,5,5,446.1892,3,9,3,2015,2015,Industry,5_5
122026194,54,1,9,386.0743,6,18,3,2005,2010,Residential_2,1_9
122021072,55,0,8,465.5619,3,9,3,1990,1993,Residential_1,0_8
122023756,56,0,6,132.0956,3,9,3,1995,2000,Residential_1,0_6
573974681,57,1,6,669.8885,8,24,3,2000,2000,Residential_2,1_6
574035005,58,5,1,1009.4058,2,6,3,2007,2010,Industry,5_1
574044578,59,5,7,887.9363,3,9,3,2005,2010,Industry,5_7
653336422,60,2,7,590.6822,17,51,3,2005,2010,Residential_3,2_7
573638164,61,1,1,644.4774,10,30,3,2000,2000,Residential_2,1_1
654085876,62,0,1,411.7191,3,9,3,1995,2000,Residential_1,0_1
573939891,63,3,6,142.5584,3,9,3,2005,2010,Commercial,3_6
573964175,64,3,3,433.8121,6,18,3,2005,2010,Commercial,3_3
573964640,65,1,8,426.6194,5,15,3,2000,2000,Residential_2,1_8
694914904,66,5,2,518.8837,3,9,3,2000,2000,Industry,5_2
574417019,67,0,2,156.0268,3,9,3,1990,1993,Residential_1,0_2
573841807,68,3,4,383.3937,6,18,3,2010,2010,Commercial,3_4
