BuildingID,bh,LandNum,Cluster,Area,Fnum,Height,Fheight,Age,Age_Data,landUseTyp,archetype_id
79611270,1,4,2,1297.8163,0,12.0,0.0,2010,2010,Office,4_2
79568393,2,7,6,974.7998,5,15.0,3.0,2008,2010,Administration,7_6
79547534,3,6,8,5159.8225,3,9.0,3.0,2014,2015,Transport,6_8
79616925,4,2,8,503.7217,16,48.0,3.0,2000,2000,Residential_3,2_8
524806700,5,5,4,763.8922,3,9.0,3.0,2015,2015,Industry,5_4
79606019,6,3,7,423.7833,5,15.0,3.0,2005,2010,Commercial,3_7
79606187,7,1,3,433.161,6,18.0,3.0,2000,2000,Residential_2,1_3
518249145,8,3,1,388.135,5,15.0,3.0,2012,2015,Commercial,3_1
79609589,9,7,7,666.0105,16,64.0,4.0,2015,2015,Administration,7_7
79547521,10,6,9,377.861,2,6.0,3.0,2008,2010,Transport,6_9
79547528,11,6,10,95063.5298,3,9.0,3.0,2017,2024,Transport,6_10
79611314,12,2,7,683.0856,25,75.0,3.0,2010,2010,Residential_3,2_7
79611056,13,0,11,1312.4092,0,6.0,0.0,1980,1993,Residential_1,0_11
79610792,14,4,12,587.2875,16,64.0,4.0,2000,2000,Office,4_12
79610474,15,4,8,2860.6288,0,9.0,0.0,2005,2010,Office,4_8
79610483,16,7,10,884.3937,30,90.0,3.0,2015,2015,Administration,7_10
79610428,17,4,7,22962.8233,0,6.0,0.0,2000,2000,Office,4_7
518536139,18,4,11,1284.1939,16,48.0,3.0,2005,2010,Office,4_11
79608871,19,4,6,2350.071,4,12.0,3.0,1995,2000,Office,4_6
79555148,20,7,2,651.2908,7,21.0,3.0,2012,2015,Administration,7_2
2137997582,21,7,12,1446.6883,6,18.0,3.0,2000,2000,Administration,7_12
79547494,22,4,5,691.1921,20,60.0,3.0,2008,2010,Office,4_5
79558920,23,4,9,772.0423,15,45.0,3.0,1995,2000,Office,4_9
79595796,24,1,11,673.3308,10,30.0,3.0,2000,2000,Residential_2,1_11
79615921,25,2,3,462.6342,12,36.0,3.0,2010,2010,Residential_3,2_3
79589658,26,2,2,873.3013,30,90.0,3.0,2000,2000,Residential_3,2_2
79555449,27,1,5,533.1484,8,24.0,3.0,2000,2000,Residential_2,1_5
79525099,28,6,3,785.8049,4,12.0,3.0,2010,2010,Transport,6_3
79588594,29,2,4,751.6732,30,90.0,3.0,2010,2010,Residential_3,2_4
631496509,30,1,9,515.2848,6,18.0,3.0,1990,1993,Residential_2,1_9
518519210,31,3,2,582.2755,18,54.0,3.0,2005,2010,Commercial,3_2
79549735,32,7,1,454.998,7,21.0,3.0,1990,1993,Administration,7_1
79610888,33,0,3,604.0103,0,18.0,0.0,1980,1993,Residential_1,0_3
518512153,34,3,9,451.3334,6,18.0,3.0,2005,2010,Commercial,3_9
79562757,35,1,12,514.8212,5,15.0,3.0,2005,2010,Residential_2,1_12
79568698,36,4,1,497.5248,16,48.0,3.0,2015,2015,Office,4_1
79609447,37,7,3,5640.3491,16,48.0,3.0,2005,2010,Administration,7_3
79610059,38,2,10,405.5074,30,90.0,3.0,2010,2010,Residential_3,2_10
79592100,39,5,1,1020.1096,2,6.0,3.0,2000,2000,Industry,5_1
79554803,40,6,5,1084.3848,4,12.0,3.0,2000,2000,Transport,6_5
79561526,41,7,5,280.7189,5,15.0,3.0,2005,2010,Administration,7_5
79530703,42,6,7,1543.4027,4,12.0,3.0,2010,2010,Transport,6_7
79566419,43,4,4,1905.0721,8,24.0,3.0,2000,2000,Office,4_4
549559543,44,7,9,1629.6572,6,18.0,3.0,2015,2015,Administration,7_9
573555426,45,3,5,317.4877,4,12.0,3.0,2005,2010,Commercial,3_5
79547531,46,6,4,1533.3913,6,18.0,3.0,2015,2015,Transport,6_4
79583814,47,1,6,868.7643,6,18.0,3.0,2005,2010,Residential_2,1_6
79583937,48,2,6,804.3449,16,48.0,3.0,2005,2010,Residential_3,2_6
518375717,49,4,3,1346.8601,28,84.0,3.0,2005,2010,Office,4_3
79582594,50,0,9,3118.3246,3,9.0,3.0,1990,1993,Residential_1,0_9
79622871,51,6,1,98269.3571,5,15.0,3.0,2010,2010,Transport,6_1
573428305,52,0,12,512.9864,3,9.0,3.0,1995,2000,Residential_1,0_12
79609656,53,7,8,1351.8915,12,48.0,4.0,2005,2010,Administration,7_8
79615394,54,0,10,2471.8619,0,6.0,0.0,1990,1993,Residential_1,0_10
79615254,55,0,6,1144.004,0,6.0,0.0,1990,1993,Residential_1,0_6
79587828,56,2,12,903.6159,20,60.0,3.0,2010,2010,Residential_3,2_12
572607202,57,0,8,894.2822,3,9.0,3.0,1995,2000,Residential_1,0_8
632646733,58,3,4,796.8813,18,54.0,3.0,2010,2010,Commercial,3_4
573453949,59,3,6,464.5364,5,15.0,3.0,2010,2010,Commercial,3_6
79616554,60,0,1,3419.8406,0,6.0,0.0,1995,2000,Residential_1,0_1
79596194,61,7,4,3754.6657,6,18.0,3.0,2000,2000,Administration,7_4
524845461,62,3,12,472.6173,5,15.0,3.0,2015,2015,Commercial,3_12
573575978,63,4,10,1246.4142,6,18.0,3.0,2005,2010,Office,4_10
519579400,64,0,2,19740.6943,0,6.0,0.0,1990,1993,Residential_1,0_2
524815481,65,5,7,292.4357,3,9.0,3.0,2005,2010,Industry,5_7
631495935,66,5,2,369.6192,1,3.0,3.0,2000,2000,Industry,5_2
517961318,67,1,7,425.875,4,12.0,3.0,2000,2000,Residential_2,1_7
518522979,68,0,5,473.8823,3,9.0,3.0,1990,1993,Residential_1,0_5
518523180,69,1,8,397.4057,5,15.0,3.0,2000,2000,Residential_2,1_8
563851972,70,1,4,437.3912,6,18.0,3.0,2005,2010,Residential_2,1_4
573517512,71,5,8,2354.5356,2,6.0,3.0,2005,2010,Industry,5_8
651116312,72,0,4,175.5776,3,9.0,3.0,1990,1993,Residential_1,0_4
79589326,73,2,5,827.8755,12,36.0,3.0,2010,2010,Residential_3,2_5
79547617,74,6,2,3199.2314,3,9.0,3.0,2015,2015,Transport,6_2
518377364,75,3,11,136.2428,3,9.0,3.0,2005,2010,Commercial,3_11
631496290,76,5,12,12546.9488,1,3.0,3.0,1995,2000,Industry,5_12
573419092,77,1,1,852.9826,5,15.0,3.0,2000,2000,Residential_2,1_1
573564085,78,3,10,3244.3405,5,15.0,3.0,2005,2010,Commercial,3_10
572641708,79,5,9,508.2655,3,9.0,3.0,1995,2000,Industry,5_9
79582696,80,3,8,668.6777,6,18.0,3.0,2012,2015,Commercial,3_8
79582777,81,7,11,5436.8083,6,18.0,3.0,2013,2015,Administration,7_11
572572323,82,0,7,189.0947,3,9.0,3.0,1995,2000,Residential_1,0_7
572585226,83,5,5,393.9653,3,9.0,3.0,2000,2000,Industry,5_5
650831793,84,2,9,497.815,21,63.0,3.0,2010,2010,Residential_3,2_9
650130762,85,5,3,424.0173,3,9.0,3.0,2012,2015,Industry,5_3
572533054,86,5,11,1762.6252,0,12.0,0.0,1998,2000,Industry,5_11
79585265,87,1,2,797.1698,6,18.0,3.0,2000,2000,Residential_2,1_2
573593446,88,3,3,779.4707,4,12.0,3.0,2005,2010,Commercial,3_3
649432362,89,5,6,938.4205,2,6.0,3.0,1995,2000,Industry,5_6
573637370,90,1,10,547.1551,4,12.0,3.0,2005,2010,Residential_2,1_10
652038520,91,2,1,546.986,17,51.0,3.0,2010,2010,Residential_3,2_1
652280468,92,2,11,644.5308,23,69.0,3.0,2010,2010,Residential_3,2_11
79622875,93,6,11,31321.7087,4,12.0,3.0,2015,2015,Transport,6_11
79622877,94,6,6,9827.1469,3,9.0,3.0,2015,2015,Transport,6_6
573637948,95,5,10,2076.8414,2,6.0,3.0,2013,2015,Industry,5_10
